Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
7/31/2015 6:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/31/2015 7:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/31/2015 8:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/31/2015 9:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/31/2015 10:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/31/2015 11:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
8/1/2015 12:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
8/1/2015 1:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
8/1/2015 2:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
8/1/2015 3:00:00 AM,Central Los Angeles,30,1-hr,µg/m3,N/A,N/A,
8/1/2015 4:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/1/2015 5:00:00 AM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
8/1/2015 6:00:00 AM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
8/1/2015 7:00:00 AM,Central Los Angeles,45,1-hr,µg/m3,N/A,N/A,
8/1/2015 8:00:00 AM,Central Los Angeles,28,1-hr,µg/m3,N/A,N/A,
8/1/2015 9:00:00 AM,Central Los Angeles,32,1-hr,µg/m3,N/A,N/A,
8/1/2015 10:00:00 AM,Central Los Angeles,32,1-hr,µg/m3,N/A,N/A,
8/1/2015 11:00:00 AM,Central Los Angeles,31,1-hr,µg/m3,N/A,N/A,
8/1/2015 12:00:00 PM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
8/1/2015 1:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
8/1/2015 2:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
8/1/2015 3:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/1/2015 4:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/1/2015 5:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/1/2015 6:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/1/2015 7:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/1/2015 9:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/1/2015 10:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
8/1/2015 11:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/2/2015 12:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
8/2/2015 1:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/2/2015 2:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/2/2015 3:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/2/2015 4:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
8/2/2015 5:00:00 AM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
8/2/2015 6:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
8/2/2015 7:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
8/2/2015 8:00:00 AM,Central Los Angeles,30,1-hr,µg/m3,N/A,N/A,
8/2/2015 9:00:00 AM,Central Los Angeles,29,1-hr,µg/m3,N/A,N/A,
8/2/2015 10:00:00 AM,Central Los Angeles,32,1-hr,µg/m3,N/A,N/A,
8/2/2015 11:00:00 AM,Central Los Angeles,37,1-hr,µg/m3,N/A,N/A,
8/2/2015 12:00:00 PM,Central Los Angeles,32,1-hr,µg/m3,N/A,N/A,
8/2/2015 1:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
8/2/2015 2:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/2/2015 3:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/2/2015 4:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/2/2015 5:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/2/2015 6:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
8/2/2015 7:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
8/2/2015 8:00:00 PM,Central Los Angeles,27,1-hr,µg/m3,N/A,N/A,
8/2/2015 9:00:00 PM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
8/2/2015 10:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
8/2/2015 11:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/3/2015 12:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/3/2015 1:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/3/2015 2:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/3/2015 3:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/3/2015 4:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
8/3/2015 5:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
8/3/2015 6:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
8/3/2015 7:00:00 AM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
8/3/2015 8:00:00 AM,Central Los Angeles,27,1-hr,µg/m3,N/A,N/A,
8/3/2015 9:00:00 AM,Central Los Angeles,28,1-hr,µg/m3,N/A,N/A,
8/3/2015 10:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
8/3/2015 11:00:00 AM,Central Los Angeles,42,1-hr,µg/m3,N/A,N/A,
8/3/2015 12:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
8/3/2015 1:00:00 PM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
8/3/2015 2:00:00 PM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
8/3/2015 3:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/3/2015 4:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
8/3/2015 5:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/3/2015 6:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
8/3/2015 7:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/3/2015 8:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/3/2015 9:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/3/2015 10:00:00 PM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
8/3/2015 11:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
8/4/2015 12:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/4/2015 1:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/4/2015 2:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/4/2015 3:00:00 AM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
8/4/2015 4:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/4/2015 5:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/4/2015 6:00:00 AM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
8/4/2015 7:00:00 AM,Central Los Angeles,32,1-hr,µg/m3,N/A,N/A,
8/4/2015 8:00:00 AM,Central Los Angeles,33,1-hr,µg/m3,N/A,N/A,
8/4/2015 9:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
8/4/2015 10:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
8/4/2015 11:00:00 AM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
8/4/2015 12:00:00 PM,Central Los Angeles,46,1-hr,µg/m3,N/A,N/A,
8/4/2015 1:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/4/2015 2:00:00 PM,Central Los Angeles,1,1-hr,µg/m3,N/A,N/A,
8/4/2015 3:00:00 PM,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,
8/4/2015 4:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
8/4/2015 5:00:00 PM,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,
8/4/2015 6:00:00 PM,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,
8/4/2015 7:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
8/4/2015 8:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/4/2015 9:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/4/2015 10:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
8/4/2015 11:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
8/5/2015 12:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/5/2015 1:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/5/2015 2:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/5/2015 3:00:00 AM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
8/5/2015 4:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/5/2015 5:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/5/2015 6:00:00 AM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
8/5/2015 7:00:00 AM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
8/5/2015 8:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/5/2015 9:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/5/2015 10:00:00 AM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
8/5/2015 11:00:00 AM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
8/5/2015 12:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/5/2015 1:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/5/2015 2:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/5/2015 3:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/5/2015 4:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
8/5/2015 5:00:00 PM,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,
8/5/2015 6:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
8/5/2015 7:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
8/5/2015 8:00:00 PM,Central Los Angeles,29,1-hr,µg/m3,N/A,N/A,
8/5/2015 9:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/5/2015 10:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/5/2015 11:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
8/6/2015 12:00:00 AM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
8/6/2015 1:00:00 AM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
8/6/2015 2:00:00 AM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
8/6/2015 3:00:00 AM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
8/6/2015 4:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
8/6/2015 5:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
8/6/2015 6:00:00 AM,Central Los Angeles,37,1-hr,µg/m3,N/A,N/A,
8/6/2015 7:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/6/2015 8:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/6/2015 9:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/6/2015 10:00:00 AM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
8/6/2015 11:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/6/2015 12:00:00 PM,Central Los Angeles,39,1-hr,µg/m3,N/A,N/A,
8/6/2015 1:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/6/2015 2:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/6/2015 3:00:00 PM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
8/6/2015 4:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
8/6/2015 5:00:00 PM,Central Los Angeles,1,1-hr,µg/m3,N/A,N/A,
8/6/2015 6:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/6/2015 7:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
8/6/2015 8:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/6/2015 9:00:00 PM,Central Los Angeles,34,1-hr,µg/m3,N/A,N/A,
8/6/2015 10:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
8/6/2015 11:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/7/2015 12:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/7/2015 1:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/7/2015 2:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
8/7/2015 3:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/7/2015 4:00:00 AM,Central Los Angeles,3,1-hr,µg/m3,N/A,N/A,
8/7/2015 5:00:00 AM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
8/7/2015 6:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
8/7/2015 7:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
8/7/2015 8:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/7/2015 9:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
8/7/2015 10:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
8/7/2015 11:00:00 AM,Central Los Angeles,37,1-hr,µg/m3,N/A,N/A,
8/7/2015 12:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/7/2015 1:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/7/2015 2:00:00 PM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
8/7/2015 3:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
8/7/2015 4:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
8/7/2015 6:00:00 PM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
8/7/2015 7:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/7/2015 8:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/7/2015 9:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/7/2015 10:00:00 PM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
8/7/2015 11:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/8/2015 12:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
8/8/2015 1:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/8/2015 2:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
8/8/2015 3:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/8/2015 4:00:00 AM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
8/8/2015 5:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
8/8/2015 6:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/8/2015 7:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/8/2015 9:00:00 AM,Central Los Angeles,28,1-hr,µg/m3,N/A,N/A,
8/8/2015 10:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/8/2015 11:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/8/2015 12:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/8/2015 1:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/8/2015 2:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
8/8/2015 3:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
8/8/2015 4:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/8/2015 5:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/8/2015 6:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
8/8/2015 7:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
8/8/2015 8:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/8/2015 9:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/8/2015 10:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
8/8/2015 11:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/9/2015 12:00:00 AM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
8/9/2015 1:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/9/2015 2:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/9/2015 3:00:00 AM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
8/9/2015 4:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/9/2015 5:00:00 AM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
8/9/2015 6:00:00 AM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
8/9/2015 7:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/9/2015 8:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/9/2015 9:00:00 AM,Central Los Angeles,29,1-hr,µg/m3,N/A,N/A,
8/9/2015 10:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
8/9/2015 11:00:00 AM,Central Los Angeles,35,1-hr,µg/m3,N/A,N/A,
8/9/2015 12:00:00 PM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
8/9/2015 1:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/9/2015 2:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
8/9/2015 3:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
8/9/2015 4:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
8/9/2015 5:00:00 PM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
8/9/2015 6:00:00 PM,Central Los Angeles,1,1-hr,µg/m3,N/A,N/A,
8/9/2015 7:00:00 PM,Central Los Angeles,3,1-hr,µg/m3,N/A,N/A,
8/9/2015 8:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
8/9/2015 9:00:00 PM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
8/9/2015 10:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/9/2015 11:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/10/2015 12:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/10/2015 1:00:00 AM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
8/10/2015 2:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/10/2015 3:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/10/2015 4:00:00 AM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
8/10/2015 5:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
8/10/2015 6:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
8/10/2015 7:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/10/2015 8:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/10/2015 9:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
8/10/2015 10:00:00 AM,Central Los Angeles,29,1-hr,µg/m3,N/A,N/A,
8/10/2015 11:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
8/10/2015 12:00:00 PM,Central Los Angeles,24,1-hr,µg/m3,N/A,N/A,
8/10/2015 1:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/10/2015 2:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
8/10/2015 3:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
8/10/2015 4:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/10/2015 5:00:00 PM,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,
8/10/2015 6:00:00 PM,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,
8/10/2015 7:00:00 PM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/10/2015 8:00:00 PM,Central Los Angeles,31,1-hr,µg/m3,N/A,N/A,
8/10/2015 9:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
8/10/2015 10:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
8/10/2015 11:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
8/11/2015 12:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
8/11/2015 1:00:00 AM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
8/11/2015 2:00:00 AM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
8/11/2015 3:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
8/11/2015 4:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/11/2015 5:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
8/11/2015 6:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/11/2015 7:00:00 AM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
8/11/2015 8:00:00 AM,Central Los Angeles,28,1-hr,µg/m3,N/A,N/A,
8/11/2015 9:00:00 AM,Central Los Angeles,32,1-hr,µg/m3,N/A,N/A,
8/11/2015 10:00:00 AM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
8/11/2015 11:00:00 AM,Central Los Angeles,42,1-hr,µg/m3,N/A,N/A,
8/11/2015 12:00:00 PM,Central Los Angeles,29,1-hr,µg/m3,N/A,N/A,
8/11/2015 1:00:00 PM,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,
8/11/2015 2:00:00 PM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
8/11/2015 3:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
8/11/2015 4:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/11/2015 5:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/11/2015 6:00:00 PM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
8/11/2015 7:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
8/11/2015 8:00:00 PM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
8/11/2015 9:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/11/2015 10:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/11/2015 11:00:00 PM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
8/12/2015 12:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/12/2015 1:00:00 AM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
8/12/2015 2:00:00 AM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
8/12/2015 3:00:00 AM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
8/12/2015 4:00:00 AM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
8/12/2015 5:00:00 AM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
8/12/2015 6:00:00 AM,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,
8/12/2015 7:00:00 AM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
8/12/2015 8:00:00 AM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/12/2015 9:00:00 AM,Central Los Angeles,29,1-hr,µg/m3,N/A,N/A,
8/12/2015 10:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
8/12/2015 11:00:00 AM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
8/12/2015 12:00:00 PM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
8/12/2015 1:00:00 PM,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,
8/12/2015 2:00:00 PM,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,
8/12/2015 3:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
8/12/2015 4:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
8/12/2015 5:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
8/12/2015 6:00:00 PM,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,
8/12/2015 7:00:00 PM,Central Los Angeles,3,1-hr,µg/m3,N/A,N/A,
8/12/2015 8:00:00 PM,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,
8/12/2015 9:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/12/2015 10:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/12/2015 11:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
8/13/2015 12:00:00 AM,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,
8/13/2015 1:00:00 AM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
8/13/2015 2:00:00 AM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
8/13/2015 3:00:00 AM,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,
8/13/2015 4:00:00 AM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
